name,id,gender,uid,department
Marco Schnabel,5102,0,71527,Directing
Demian Lichtenstein,5103,0,71418,Directing
Josh Gordon,5104,0,60922,Directing
Tim Hill,5105,0,49903,Directing
David Frankel,5106,0,5065,Directing
Marc Lawrence,5107,0,18323,Directing
Peter Billingsley,5108,0,12708,Directing
Wes Ball,5109,0,1179066,Directing
Ryan Murphy,5110,0,52779,Directing
Robert Redford,5111,0,4135,Directing
Jay Russell,5112,0,46297,Directing
Kenny Ortega,5113,0,65310,Directing
David McNally,5114,0,48980,Directing
Brian Robbins,5115,0,53177,Directing
Brian Levant,5116,0,13581,Directing
Steven Zaillian,5117,0,2260,Directing
Sam Fell,5118,0,58897,Directing
Jon Avnet,5119,0,18250,Directing
Robert Stevenhagen,5120,0,64152,Directing
Kevin Donovan,5121,0,66654,Directing
Geoff Murphy,5122,0,32277,Directing
David O. Russell,5123,0,17883,Directing
Babak Najafi,5124,0,132239,Directing
Jean-Pierre Jeunet,5125,0,2419,Directing
Anthony Stacchi,5126,0,52691,Directing
Griffin Dunne,5127,0,2171,Directing
John Pasquin,5128,0,58072,Directing
Ruben Fleischer,5129,0,91268,Directing
Harold Ramis,5130,0,1524,Directing
Kevin Macdonald,5131,0,17350,Directing
Donald Petrie,5132,0,18281,Directing
Jorge Blanco,5133,0,117052,Directing
Stuart Baird,5134,0,2523,Directing
Joel Coen,5135,0,1223,Directing
Robert Lorenz,5136,0,4746,Directing
Harold Becker,5137,0,23213,Directing
Scott Stewart,5138,0,116357,Directing
Tony Bill,5139,0,57138,Directing
Rod Lurie,5140,0,21526,Directing
Walter Hill,5141,0,1723,Directing
Akiva Goldsman,5142,0,5575,Directing
Harald Zwart,5143,0,21981,Directing
Walter Salles,5144,0,8574,Directing
Iain Softley,5145,0,1978,Directing
Frank Miller,5146,0,2293,Directing
David Koepp,5147,0,508,Directing
Uwe Boll,5148,0,23799,Directing
Soi Cheang,5149,0,93991,Directing
John Dahl,5150,0,21053,Directing
Tim Miller,5151,0,55252,Directing
Stephen Herek,5152,0,18356,Directing
Peter MacDonald,5153,0,16589,Directing
Anthony Hemingway,5154,0,1216147,Directing
Sean Anders,5155,0,74619,Directing
Brian Taylor,5156,0,20192,Directing
John Madden,5157,0,18844,Directing
Kevin Bray,5158,0,34453,Directing
Mike Gabriel,5159,0,65530,Directing
Sam Weisman,5160,0,54967,Directing
Jesse Dylan,5161,0,54584,Directing
Wayne Wang,5162,0,39819,Directing
Gabriele Muccino,5163,0,20646,Directing
Tom Dey,5164,0,46076,Directing
Jimmy Hayward,5165,0,8029,Directing
Alan Parker,5166,0,9168,Directing
John Frankenheimer,5167,0,13776,Directing
Paul King,5168,0,101666,Directing
Akiva Schaffer,5169,0,62854,Directing
William Friedkin,5170,0,15175,Directing
Kent Alterman,5171,0,65702,Directing
Peter Lord,5172,0,53304,Directing
Shekhar Kapur,5173,0,37630,Directing
Karyn Kusama,5174,1,54025,Directing
Ronald F. Maxwell,5175,0,66088,Directing
Robert Butler,5176,0,101767,Directing
Steve Antin,5177,0,42745,Directing
Jim Gillespie,5178,0,33254,Directing
Francis Ford Coppola,5179,0,1776,Directing
Richard Lester,5180,0,10586,Directing
Scott Cooper,5181,0,65167,Directing
Curtis Hanson,5182,0,323,Directing
Phyllida Lloyd,5183,1,71068,Directing
Jay Chandrasekhar,5184,0,52049,Directing
Terrence Malick,5185,0,30715,Directing
David Dobkin,5186,0,42994,Directing
Milo Forman,5187,0,3974,Directing
Pierre Morel,5188,0,35453,Directing
Paul Hunter,5189,0,70573,Directing
Steve Oedekerk,5190,0,4489,Directing
John Whitesell,5191,0,61175,Directing
George Nolfi,5192,0,1921,Directing
Neil Jordan,5193,0,17016,Directing
Rawson Marshall Thurber,5194,0,57633,Directing
Spike Lee,5195,0,5281,Directing
Brian Helgeland,5196,0,4723,Directing
Frank Marshall,5197,0,664,Directing
Hideo Nakata,5198,0,26875,Directing
Peter Hewitt,5199,0,18357,Directing
Joe Roth,5200,0,18311,Directing
Bennett Miller,5201,0,5345,Directing
Jaume Collet-Serra,5202,0,59521,Directing
Andy Fickman,5203,0,58375,Directing
James McTeigue,5204,0,11266,Directing
Matthew O'Callaghan,5205,0,61290,Directing
Angela Robinson,5206,1,7312,Directing
Gary Fleder,5207,0,5501,Directing
Tommy Wirkola,5208,0,76927,Directing
Adrian Lyne,5209,0,7270,Directing
Stephen Gaghan,5210,0,2945,Directing
Jorge R. Gutierrez,5211,0,1265056,Directing
Richard Loncraine,5212,0,33315,Directing
Christophe Gans,5213,0,8296,Directing
Howard Deutch,5214,0,26502,Directing
Jon Hurwitz,5215,0,68843,Directing
Steven Quale,5216,0,93214,Directing
John Landis,5217,0,4610,Directing
Alexander Witt,5218,0,17649,Directing
Beeban Kidron,5219,1,20237,Directing
Carl Franklin,5220,0,21712,Directing
Steven Seagal,5221,0,23880,Directing
Danny Boyle,5222,0,2034,Directing
Andrew Bergman,5223,0,41550,Directing
Barbet Schroeder,5224,0,23393,Directing
Peter Webber,5225,0,16785,Directing
Andrew Niccol,5226,0,8685,Directing
John Carpenter,5227,0,11770,Directing
Wes Anderson,5228,0,5655,Directing
David Cronenberg,5229,0,224,Directing
John Stockwell,5230,0,57082,Directing
David Gordon Green,5231,0,64141,Directing
Jim Sheridan,5232,0,53334,Directing
Costa-Gavras,5233,0,27436,Directing
Patrick Read Johnson,5234,0,56059,Directing
Richard LaGravenese,5235,0,2163,Directing
Danny DeVito,5236,0,518,Directing
George Armitage,5237,0,58294,Directing
Patrick Lussier,5238,0,27226,Directing
James Wong,5239,0,57134,Directing
Richard Curtis,5240,0,7018,Directing
Chuck Bowman,5241,0,41270,Directing
Olivier Megaton,5242,0,75035,Directing
Deepa Mehta,5243,1,4760,Directing
Warren Beatty,5244,0,6449,Directing
Penny Marshall,5245,1,14911,Directing
Ted Kotcheff,5246,0,16544,Directing
Andrei Tarkovsky,5247,0,8452,Directing
Yvette Kaplan,5248,0,31093,Directing
Stephen Frears,5249,0,3224,Directing
P.J. Hogan,5250,0,3045,Directing
Brad Furman,5251,0,144221,Directing
Terence Young,5252,0,9855,Directing
David Zucker,5253,0,12987,Directing
Denis Villeneuve,5254,0,137427,Directing
Thomas Carter,5255,0,52038,Directing
Roger Michell,5256,0,7017,Directing
Luis Llosa,5257,0,26648,Directing
Melville Shavelson,5258,0,16745,Directing
Garth Jennings,5259,0,52842,Directing
Joel Zwick,5260,0,54644,Directing
Russell Mulcahy,5261,0,52968,Directing
David R. Ellis,5262,0,4755,Directing
Peter Howitt,5263,0,7791,Directing
John A. Davis,5264,0,60237,Directing
David Lynch,5265,0,5602,Directing
Julie Taymor,5266,1,16391,Directing
Mathieu Kassovitz,5267,0,2406,Directing
John Gray,5268,0,35155,Directing
John Schultz,5269,0,79656,Directing
Sean Penn,5270,0,2228,Directing
Susan Stroman,5271,1,60129,Directing
Simon Wincer,5272,0,18254,Directing
Billy Bob Thornton,5273,0,879,Directing
Danny Pang,5274,0,21905,Directing
George P. Cosmatos,5275,0,16566,Directing
Oliver Parker,5276,0,56710,Directing
Lawrence Kasanoff,5277,0,43518,Directing
Ben Affleck,5278,0,880,Directing
Brian Gibson,5279,0,18069,Directing
Ben Sharpsteen,5280,0,11426,Directing
Michael Cimino,5281,0,12114,Directing
Paul McGuigan,5282,0,2291,Directing
Gus Van Sant,5283,0,5216,Directing
Roger Kumble,5284,0,11873,Directing
Burr Steers,5285,0,58552,Directing
Nick Park,5286,0,7314,Directing
John Hamburg,5287,0,17871,Directing
Reginald Hudlin,5288,0,68215,Directing
Joseph L. Mankiewicz,5289,0,10601,Directing
Barbra Streisand,5290,0,10400,Directing
Mark Pellington,5291,0,11676,Directing
John Glen,5292,0,10179,Directing
Catherine Hardwicke,5293,1,19850,Directing
John Herzfeld,5294,0,27846,Directing
Annabel Jankel,5295,0,58164,Directing
